"depths","AMBROSIA","ARTEMISIA","ASTERX","BETULA","CYPERACE","JUGLANSX","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
610,137,9,4,9,22,22,22.5,139,119,52,3
620,157,23,11,18,28,23.5,32.5,190,155,52,0
630,146,11,11,14,30,20,23.5,167,136,72,3
640,169,19,6,13,13,29,30.5,179,176,44,1
650,121,27,19,12,19,30,21,194,169,38,0
655,100,26,15,20,36,19,31.5,170,220,40,1
660,47,27,21,28,28,29,29.5,100,207,49,0
665,57,33,26,23,27,54.5,50,114,264,40,0
680,46,35,12,22,38,30,46.5,133,281,30,0
690,46,26,16,15,40,29,58.5,183,239,21,1
700,33,32,24,24,35,26,43.5,136,292,21,0
710,53,34,27,29,45,19,52.5,152,199,26,0
720,29,26,18,11,35,14,36,174,175,27,0
740,25,35,19,19,38,14.5,50,200,194,19,0
760,38,33,13,23,42,15,64,159,235,17,0
780,22,30,14,27,47,7,48.5,172,200,27,0
790,32,35,16,24,40,3,55.5,143,270,24,0
800,18,41,20,20,49,3,31,101,225,18,0
810,23,40,22,20,87,4,55.5,151,244,24,1
820,21,47,28,26,84,2,72.5,197,200,39,0
830,28,28,11,21,61,0,45.5,176,258,24,3
840,28,37,24,29,39,3,59.5,135,246,20,0
860,32,38,18,26,64,1,65,118,293,19,0
880,41,68,27,18,54,3,66.5,115,268,22,0
900,29,54,16,7,54,3,49.5,120,248,18,2
